,Registration_date,Longitude,Latitude,Annual_underground_extraction_m3,Entitlement,Permited_use,Municipality_name,Year
0,2019-06-27,-99.15500536111112,19.30394711111111,450000.0,"TELEVISA, S.A. DE C.V.",SERVICIOS,COYOACÁN,2019
1,2022-12-12,-99.252504,19.380005055555557,765000.0,"CAPRICHO HABITACIONAL, S.A. DE C.V.",SERVICIOS,ÁLVARO OBREGÓN,2022
2,2022-12-12,-99.25278177777778,19.380007583333335,765000.0,"CAPRICHO HABITACIONAL, S.A. DE C.V.",SERVICIOS,ÁLVARO OBREGÓN,2022
3,2021-09-09,-99.19645011111112,19.45144847222222,270720.0,FIM-TIERRA UNO,SERVICIOS,MIGUEL HIDALGO,2021
4,2019-12-20,-99.15749930555556,19.430286000000002,14701.0,LERMA SA,SERVICIOS,CUAUHTÉMOC,2019
5,2022-10-07,-99.15787566666667,19.456487055555556,1128200.0,EMBOTELLADORA MEXICANA DE BEBIDAS REFRESCANTES,INDUSTRIAL,CUAUHTÉMOC,2022
6,2020-10-28,-99.19247186111112,19.491445777777777,91000.0,INMOBILIARIA BIMBO AZCAPOTZALCO,DIFERENTES USOS,AZCAPOTZALCO,2020
7,2021-08-02,-99.15194425,19.535280694444445,100000.0,LA IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ULTIMOS DIAS EN MEXICO,SERVICIOS,GUSTAVO A. MADERO,2021
8,2021-09-21,-99.21027811111111,19.330278166666666,23000.0,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,ÁLVARO OBREGÓN,2021
9,2021-09-21,-99.21083361111111,19.32638925,23000.0,"INMOBILIARIA GOCOS, S.A. DE C.V.",SERVICIOS,ÁLVARO OBREGÓN,2021
10,2021-05-25,-99.16308366666667,19.493974666666666,7483.0,NACIONAL DE COBRE S.A. DE C.V.,INDUSTRIAL,AZCAPOTZALCO,2021
11,2021-05-25,-99.16180572222223,19.49294752777778,7483.0,NACIONAL DE COBRE S.A. DE C.V.,INDUSTRIAL,AZCAPOTZALCO,2021
12,2021-06-04,-99.21194425,19.45778052777778,19814.0,"COMPAÑIA LANERA DE MEXICO, S.A. DE C.V.",INDUSTRIAL,MIGUEL HIDALGO,2021
13,2022-06-08,-99.12333333333332,19.388891972222222,510000.0,"EMBOTELLADORA METROPOLITANA, S. DE R.L. DE C.V.",INDUSTRIAL,IZTACALCO,2022
14,2021-09-21,-99.10527813888888,19.366667083333333,20000.0,"INMOBILIARIA RONCESVALLES, S.A. DE C.V.",INDUSTRIAL,IZTAPALAPA,2021
